A,,,B,,,C,,,D,,,E,
p_r,0.7779,,p_r,0.3219,,p_r,0.3219,,p_r,0.9388,,p_r,0.9388
t_r,0.991,,t_r,0.8578,,t_r,0.814,,t_r,0.8175,,t_r,1.0342
t_nh3,401.45,,t_nh3,347.74,,t_nh3,330.07,,t_nh3,331.43,,t_nh3,419.26
t_c2h6,302.36,,t_c2h6,261.9,,t_c2h6,248.6,,t_c2h6,249.62,,t_c2h6,315.77
t_mix,342,,t_mix,296.24,,t_mix,281.19,,t_mix,282.34,,t_mix,357.16
p_nh3,88.17,,p_nh3,36.49,,p_nh3,36.49,,p_nh3,106.42,,p_nh3,106.42
p_c2h6,37.9,,p_c2h6,15.69,,p_c2h6,15.69,,p_c2h6,45.75,,p_c2h6,45.75
p_mix,58,,p_mix,24,,p_mix,24,,p_mix,70,,p_mix,70
h_nh3,27.383,,h_nh3,27.678,,h_nh3,10.54,,h_nh3,10.647,,h_nh3,27.831
h_c_nh3,22.416,,h_c_nh3,22.416,,h_c_nh3,22.416,,h_c_nh3,22.416,,h_c_nh3,22.416
h_c2h6,17.203,,h_c2h6,16.817,,h_c2h6,5.0956,,h_c2h6,5.191,,h_c2h6,17.579
h_c_c2h6,13.179,,h_c_c2h6,13.179,,h_c_c2h6,13.179,,h_c_c2h6,13.179,,h_c_c2h6,13.179
h_mix,21.275,,h_mix,21.1614,,h_mix,7.273,,h_mix,7.3734,,h_mix,21.6798
h_c_mix,16.8738,,h_c_mix,16.8738,,h_c_mix,16.8738,,h_c_mix,16.8738,,h_c_mix,16.8738
h_A,9.5,,h_B,8,,h_C,-4.5,,h_D,-4.4,,h_E,9.9
h_c_A,5.1,,h_c_B,5.1,,h_c_C,5.1,,h_c_D,5.1,,h_c_E,5.1
X_v,1,,X_v,1,,X_v,0,,X_v,0,,X_v,1